nikolaos lagos
bogomil kovachev
vassilina nikoulina
artem sokolov
guillaume wisniewski
ann irvine
jesús andrés-ferrer
guillem gascó
martha-alicia rocha
germán sanchis
francisco casacuberta
nathan schneider
rishav bhowmick
behrang mohit
sophie rosset
siddharth patwardhan
dirk hovy
chris welty
james fan
bonan min
ralph grishman
hal daumé iii
enrique alfonseca
jean-yves delort
thorsten joachims
ruben sipos
pannaga shivaswamy
sharon goldwater
luke zettlemoyer
tom kwiatkowski
daniel ortiz-martínez
jesús gonzález-rubio
noam ordan
gennadi lembersky
francisco costa
antã³nio branco
andrea glaser
ellen riloff
ruihong huang
tomek strzalkowski
ting liu
william b. dolan
svitlana volkova
theresa wilson
vanessa wei feng
dietrich klakow
michael wiegand
steven bethard
marie-francine moens
bram jans
ivan vulić
david m. w. powers
amit bronner
zhonghua qu
yang liu
jack mostow
hyeju jang
tatiana vodolazova
verena henrich
regina barzilay
gabriella vigliocco
irene fernandez monsalve
stefan frank
borja balle
ariadna quattoni
franco m. luque
md. faisal mahbub chowdhury
atsushi hanamoto
arianna bisazza
andreas cranenburgh
amy isard
myroslava o. dzikovska
peter bell
matthew purver
stuart battersby
preslav nakov
georgi georgiev
petya osenova
valentin zhikov
marius a. pasca
janara christensen
okko buß
timo baumann
andreas peldszus
vlad niculae
octavia-maria sulea
liviu p. dinu
torsten zesch
rico sennrich
iryna gurevych
judith eckle-kohler
helmer strik
louis boves
benno stein
tim gollub
dennis hoppe
silvana hartmann
christian wirth
michael matuschek
christian m. meyer
diana mccarthy
timothy baldwin
david newman
jey han lau
paul cook
raymond j. mooney
micol marchetti-bowick
nathanael chambers
grzegorz chrupala
sebastian padó
manaal faruqui
grã©goire dã©trez
burcu can
fabienne cap
marion weller
sarah alkuhlani
yuichiroh matsubayashi
akiko aizawa
ricardo baeza-yates
luz rello
houda bouamor
anita gojun
yue zhang
graeme blackwood
margaret mitchell
tamara l. berg
alyssa mensch
alexander c. berg
kota yamaguchi
amit goyal
xufeng han
karl stratos
jesse dodge
markus dreyer
sina zarrieß
yevgen chebotar
oliver ferschke
carolyn penstein rosã©
mahaveer jain
john mcdonough
gahgene gweon
bhiksha raj
daniel quernheim
fabienne braune
andreas maletti
aurelie lagoutte
stefan riezler
katharina waeschle
remi trijp
silvie cinkova
martin holub
vincent krã­å¾
marc poch
antonio toral
núria bel
dan cristea
anelia belogay
svetla koeva
adam przepiórkowski
cristina vertan
plovios raxis
diman karagyozov
laurent romary
florian zipser
patrice lopez
